"Codice articolo","Descrizione","Categoria","Prezzo"
"DP40-047-1","Lamiera supporto Gett. Rendirestp DP40 - PRZ+Ral 9003 Liscio,opaco","CARPENTERIE","18,88"
"FI-MH627R","Filtro Luce IR per barriera ottica MH627R - plastica","PARTI PLASTICHE","4,05076"
"FR-003-R290","Gruppo frigo x DP40 - NUY90RA SLIM R290 (Vs. cod. 18001168)","GRUPPI FRIGO E ACCESSORI","1556,433"
"FR-004-R290","Gruppo frigo x DD60 TOUCH - NEK6210U-A R290 (Vs. cod. 18001164)","GRUPPI FRIGO E ACCESSORI","1659,45"
"FR-006-R290","Gruppo frigo x DP60 - NEK6210U R290 (Vs. cod. 18001169)","GRUPPI FRIGO E ACCESSORI","1787,3415"
"GDP60-FRIGO","GRUPPO FRIGO DP60 CABLATO R134","GRUPPI FRIGO E ACCESSORI","1673,94"
"GDP40-FRIGO","GRUPPO FRIGO DP40 CABLATO R134","GRUPPI FRIGO E ACCESSORI","1673,94"
"GETT-P10-CCTALK-4K","Gettoniera tropicalizzata P10 cctalk 4-C2 4K","GETTONIERE","196,662"
"GETT-RR-C2X1N","Gettoniera RendiResto BLUE MDB cod C2-X15800","GETTONIERE","1026,95"
"GETT-RR-GR1","Gettoniera RendiResto GRYPHON G4G1-MN00NN-EUR-ABF","GETTONIERE","997,05"
"INT-17","Interr.(tamper) di sicurezza KC3006CLAAA 250V,ON-OFF MOM.ON SP/bianco","COMPONENTE ELETTRONICO/ELETTRICO","11,328"
"INT-24-N","Microinterruttore  VA2-16S1-03D0-Z - Micro x ghigliottina","COMPONENTE ELETTRONICO/ELETTRICO","2,953636"
"LUCCH-4115","Lucchetto Viro Panzer 4115","COMPONENTI MECCANICI","98,78"
"MCV137","Cavo telef DB9 RS232 - mh465-mh466 - vers. 1.03","CAVI/CABLAGGI","26,4461"
"MCV422","Cavo Power/CAN MH430 >  MH483","CAVI/CABLAGGI","44,9"
"MCV459","Cavo programmazione RS232-PC -> MH430(CPU-DP8/16)","CAVI/CABLAGGI","22,656"
"MCV495","Cabl. Paypoint MDB Cashless/POS - MH430","CAVI/CABLAGGI","30,981"
"MCV526","Cablaggio x interf. MH499 - Progr. per X3 e X5","CAVI/CABLAGGI","17,228"
"MCV592-2","DP60 cavo batteria ottica - cm 150","CAVI/CABLAGGI","17,6056"
"MCV593","Power/CAM MH522-MH430","CAVI/CABLAGGI","17,936"
"MCV603-P1","Cavo RS232 stampante custom tg02/mh430 per DP60 con POS","CAVI/CABLAGGI","17,936"
"MCV610","Ds40 cavo altoparlante - MH519","CAVI/CABLAGGI","16,52"
"MCV669-1","Cablaggio cctalk x nr.5 motor dispenser per DP18","CAVI/CABLAGGI","16,52"
"MCV669-2","Cablaggio cctalk x nr.7 motor dispenser per DP18","CAVI/CABLAGGI","17,4168"
"MCV669-3","Cablaggio cctalk x nr.6 motor dispenser per DP18","CAVI/CABLAGGI","31,2504"
"MCV670","Cabl. dp18 stampante rs232","CAVI/CABLAGGI","23,128"
"MCV671","Cabl. dp18 stampante power per stampante TG02","CAVI/CABLAGGI","10,1952"
"MCV682.1","Cabl.dp18 switch chiave allarme mh522 - 1 -","CAVI/CABLAGGI","16,992"
"MCV690","Cabl. dp18 hopper 1 mh541","CAVI/CABLAGGI","16,048"
